id,name,hit_die,save_profs,saving_throw_proficiencies,armor_training,weapon_profs,default_skills,ability_priority,spellcasting_ability,class_resources,description
barbarian,Barbarian,d12,Strength|Constitution,Strength|Constitution,Light|Medium|Shields,Simple|Martial,Athletics|Intimidation,STR|CON|DEX|WIS|CHA|INT,Wisdom,rage:uses,A primal warrior who channels rage into devastating physical power
bard,Bard,d8,Dexterity|Charisma,Dexterity|Charisma,Light,Simple,Persuasion|Performance|Acrobatics,CHA|DEX|CON|WIS|INT|STR,Charisma,bardic_inspiration:uses,A versatile performer who uses magic, music, and skill to influence the world
cleric,Cleric,d8,Wisdom|Charisma,Wisdom|Charisma,Light|Medium|Shields,Simple,Religion|Medicine,WIS|CON|STR|DEX|CHA|INT,Wisdom,channel_divinity:uses,A divine spellcaster who channels the power of a deity to heal, protect, and destroy
druid,Druid,d8,Intelligence|Wisdom,Intelligence|Wisdom,Light|Medium|Shields,Simple,Animal Handling|Survival,WIS|CON|DEX|INT|CHA|STR,Wisdom,wild_shape:uses,A nature-bound spellcaster who channels the forces of the natural world
fighter,Fighter,d10,Strength|Constitution,Strength|Constitution,Light|Medium|Heavy|Shields,Simple|Martial,Athletics|Persuasion,STR|CON|DEX|WIS|CHA|INT,Intelligence,second_wind:uses|action_surge:uses,A master of combat techniques adaptable to any battlefield role
monk,Monk,d8,Strength|Dexterity,Strength|Dexterity,None,Simple|None|Shortswords,Acrobatics|Stealth,DEX|WIS|CON|STR|CHA|INT,Wisdom,focus_points:points,A disciplined martial artist who channels inner energy for supernatural feats
paladin,Paladin,d10,Wisdom|Charisma,Wisdom|Charisma,Light|Medium|Heavy|Shields,Simple|Martial,Athletics|Persuasion,STR|CHA|CON|WIS|DEX|INT,Charisma,lay_on_hands:pool|channel_divinity:uses,A holy warrior bound by sacred oaths who channels divine power in battle
ranger,Ranger,d10,Strength|Dexterity,Strength|Dexterity,Light|Medium|Shields,Simple|Martial,Survival|Nature|Investigation,DEX|WIS|CON|STR|INT|CHA,Wisdom,,A skilled tracker and hunter who blends martial skill with nature magic
rogue,Rogue,d8,Dexterity|Intelligence,Dexterity|Intelligence,Light,Simple|Hand Crossbows|Longswords|Rapiers|Shortswords,Acrobatics|Stealth|Sleight of Hand|Investigation,DEX|CON|WIS|CHA|INT|STR,Intelligence,,A stealthy expert who relies on precision, cunning, and mobility
sorcerer,Sorcerer,d6,Constitution|Charisma,Constitution|Charisma,None,Simple,Arcana|Persuasion,CHA|CON|DEX|WIS|INT|STR,Charisma,sorcery_points:points,A spellcaster whose magic is innate and fueled by internal power
warlock,Warlock,d8,Wisdom|Charisma,Wisdom|Charisma,Light,Simple,Deception|Arcana,CHA|CON|DEX|WIS|INT|STR,Charisma,,A pact-bound spellcaster who gains power from an otherworldly patron
wizard,Wizard,d6,Intelligence|Wisdom,Intelligence|Wisdom,None,Daggers|Darts|Slings|Quarterstaffs|Light Crossbows,Arcana|Investigation,INT|CON|DEX|WIS|CHA|STR,Intelligence,arcane_recovery:uses,A scholarly spellcaster who masters magic through study and preparation